SITE_ID,SITE_NAME,CITY,COUNTRY,SITE_TYPE,INVESTIGATOR_COUNT,CERTIFICATION_LEVEL
SITE_001,New York Medical Center,New York,USA,Private Clinic,12,Level 3
SITE_002,Montreal Medical Center,Montreal,Germany,Private Clinic,9,Level 2
SITE_003,Philadelphia Medical Center,Philadelphia,USA,Hospital,23,Level 3
SITE_004,Montreal Medical Center,Montreal,Germany,Private Clinic,20,Level 2
SITE_005,Los Angeles Medical Center,Los Angeles,USA,Hospital,20,Level 1
SITE_006,Chicago Medical Center,Chicago,USA,Research Institute,16,Level 1
SITE_007,Los Angeles Medical Center,Los Angeles,USA,Private Clinic,11,Level 3
SITE_008,Jacksonville Medical Center,Jacksonville,USA,Research Institute,20,Level 2
SITE_009,Los Angeles Medical Center,Los Angeles,USA,Hospital,25,Level 2
SITE_010,Houston Medical Center,Houston,USA,Private Clinic,21,Level 3
SITE_011,Dallas Medical Center,Dallas,USA,Private Clinic,13,Level 3
SITE_012,Amsterdam Medical Center,Amsterdam,Japan,Hospital,17,Level 3
SITE_013,London Medical Center,London,Netherlands,Private Clinic,25,Level 1
SITE_014,Rome Medical Center,Rome,Italy,Research Institute,12,Level 3
SITE_015,London Medical Center,London,Netherlands,Research Institute,20,Level 2
SITE_016,Toronto Medical Center,Toronto,UK,Private Clinic,9,Level 2
SITE_017,Philadelphia Medical Center,Philadelphia,USA,Hospital,7,Level 3
SITE_018,Vancouver Medical Center,Vancouver,Italy,Hospital,9,Level 1
SITE_019,Philadelphia Medical Center,Philadelphia,USA,Research Institute,24,Level 3
SITE_020,Houston Medical Center,Houston,USA,Private Clinic,12,Level 2
SITE_021,Austin Medical Center,Austin,USA,Private Clinic,8,Level 2
SITE_022,Montreal Medical Center,Montreal,Canada,Research Institute,11,Level 3
SITE_023,Philadelphia Medical Center,Philadelphia,USA,Private Clinic,18,Level 1
SITE_024,San Diego Medical Center,San Diego,USA,Hospital,9,Level 3
SITE_025,Stockholm Medical Center,Stockholm,Germany,Hospital,25,Level 3
SITE_026,Los Angeles Medical Center,Los Angeles,USA,Private Clinic,9,Level 1
SITE_027,Philadelphia Medical Center,Philadelphia,USA,Research Institute,10,Level 3
SITE_028,London Medical Center,London,Japan,Private Clinic,25,Level 1
SITE_029,Melbourne Medical Center,Melbourne,Italy,Hospital,11,Level 2
SITE_030,Toronto Medical Center,Toronto,Canada,Research Institute,10,Level 1
SITE_031,Paris Medical Center,Paris,Japan,Hospital,23,Level 1
SITE_032,Toronto Medical Center,Toronto,Australia,Research Institute,10,Level 3
SITE_033,Montreal Medical Center,Montreal,Netherlands,Research Institute,24,Level 3
SITE_034,Chicago Medical Center,Chicago,USA,Hospital,17,Level 2
SITE_035,Phoenix Medical Center,Phoenix,USA,Hospital,5,Level 1
SITE_036,Rome Medical Center,Rome,Australia,Private Clinic,18,Level 1
SITE_037,Toronto Medical Center,Toronto,France,Hospital,20,Level 3
SITE_038,Toronto Medical Center,Toronto,UK,Private Clinic,21,Level 1
SITE_039,Chicago Medical Center,Chicago,USA,Research Institute,9,Level 3
SITE_040,Amsterdam Medical Center,Amsterdam,UK,Private Clinic,25,Level 2
SITE_041,Rome Medical Center,Rome,Sweden,Research Institute,6,Level 3
SITE_042,Rome Medical Center,Rome,Sweden,Hospital,20,Level 2
SITE_043,Jacksonville Medical Center,Jacksonville,USA,Private Clinic,23,Level 1
SITE_044,Paris Medical Center,Paris,Germany,Research Institute,20,Level 1
SITE_045,Chicago Medical Center,Chicago,USA,Research Institute,24,Level 3
SITE_046,Paris Medical Center,Paris,Italy,Hospital,5,Level 3
SITE_047,Melbourne Medical Center,Melbourne,UK,Private Clinic,21,Level 1
SITE_048,Rome Medical Center,Rome,UK,Research Institute,25,Level 1
SITE_049,Sydney Medical Center,Sydney,Netherlands,Research Institute,16,Level 1
SITE_050,Phoenix Medical Center,Phoenix,USA,Research Institute,25,Level 3
